地铁口 精装 全明通透 高得房率 南北双阳台 换房急售 2室2厅 | 90.76㎡ | 低层 （共11层） | 东南向 | 2009年建 | 孔倩 大地伊丽雅特湾 迈皋桥-和燕路329号 满五 优质教育 距1号线晓庄站约933米 185 万 20383元/㎡
特价 人气 仙林湖 · 金地湖城艺境 · 3室 · 2厅 双重验真 官方发布 房天下房源字典核验 3室2厅 | 85.98㎡ | 高层 （共27层） | 南北向 | 2015年建 | 孟全 金地艺境 仙林-栖霞守敬路与纬地路交汇口 满五 优质教育 200 万 23261元/㎡ 低于市场价37万
人气 天悦花园 精装大三房 三楼 位置佳 业主诚心出售 3室2厅 | 129.64㎡ | 中层 （共6层） | 南北向 | 2018年建 | 易功瑞 天悦花园 马群-马群新街89-1号 满五唯一 满二 优质教育 距2号线马群站约504米 220 万 16970元/㎡
一楼带开门大院子 3室2厅 计算新村 采光好 看房方便 3室2厅 | 86㎡ | 底层 （共6层） | 南北向 | 吴彩娣 计算新村 尧化-尧新大道66号 优质教育 距7号线尧化新村站约636米 145 万 16860元/㎡
热搜 南外旁 金马路站 世茂招商语山三室二卫南北通透洋房 随时看房 3室2厅 | 88.84㎡ | 中层 （共6层） | 南北向 | 2016年建 | 张磊 世茂招商语山 仙鹤门-世茂招商语山 满二 距2号线金马路站约730米 248 万 27915元/㎡
特价 仙林学则路 仙鹤山庄 自住好房 诚心卖 无个税 双重验真 官方发布 房天下房源字典核验 2室2厅 | 77.57㎡ | 顶层 （共6层） | 南北向 | 2002年建 | 孟全 仙鹤山庄 仙鹤门-仙隐北路4号 满五 优质教育 110 万 14180元/㎡ 低于市场价61万
特价 人气 中海燕矶听潮 101.34平3居 南向简装修 视野无遮挡 3室2厅 | 101.34㎡ | 中层 （共33层） | 南向 | 2021年建 | 黄朋飞 中海燕矶听潮 燕子矶-燕子矶新城经五路与太新路交汇处 满二 距1号线笆斗山站约1061米 270 万 26642元/㎡ 低于市场价41万
特价 仙林湖 · 金地湖城艺境 · 2室 · 2厅 双重验真 官方发布 房天下房源字典核验 2室2厅 | 88.55㎡ | 低层 （共27层） | 南向 | 2017年建 | 孟全 金地艺境 仙林-栖霞守敬路与纬地路交汇口 满五 优质教育 215 万 24280元/㎡ 低于市场价36万
特价 ,房型正气,房东挥泪大甩卖,你懂的快点来吧!! 3室1厅 | 91.24㎡ | 低层 （共29层） | 南向 | 2000年建 | 凌晓伟 中电颐和府邸 迈皋桥-华电路1号(华电路与言和路交汇处) 满五 距1号线迈皋桥站约695米 260 万 28496元/㎡ 低于市场价70万
高档小区 仁恒公园世纪 电梯小洋房 燕子矶 5室2厅 | 188.74㎡ | 中层 （共11层） | 南北向 | 2022年建 | 凌晓伟 仁恒公园世纪 燕子矶-燕园路37号 距1号线笆斗山站约634米 880 万 46624元/㎡
人气 天泓山庄 紫金山脚下 低密度住宅 带前后80平大院子 3室2厅 | 149.32㎡ | 底层 （共4层） | 南向 | 2019年建 | 易功瑞 天泓山庄 马群-环陵路1号 满五 满五唯一 优质教育 距2号线马群站约886米 420 万 28127元/㎡
人气 新上房源,高科荣境1期精装修,经理推荐,真实有效 3室2厅 | 117.54㎡ | 底层 （共11层） | 南向 | 2000年建 | 邓婷婷 高科荣境 仙林-守敬路313号(仙林大道与经天路交汇处) 满五 优质教育 距2号线经天路站约819米 435 万 37008元/㎡
急售 小高层紧邻1 7号线 价格还能谈 新城尚座 3室2厅 | 89.52㎡ | 低层 （共12层） | 南向 | 2000年建 | 夏菊 新城尚座 迈皋桥-迈尧路322号 满五 距1号线晓庄站约816米 188 万 21000元/㎡
特价 仙林 · 鸿运嘉园 · 3室 · 1厅 双重验真 官方发布 房天下房源字典核验 3室1厅 | 88.93㎡ | 底层 （共11层） | 南北向 | 2011年建 | 孟全 鸿雁名居 仙林-学海路28号 满五 195 万 21927元/㎡ 低于市场价29万
仙林湖豪装别墅未入住 地铁口 上叠边户可观山 赠空中花园 独栋 | 卧室：4个 | 花园：70平米 | 169㎡ | 北向 | 袁洁 新城璞樾和山别墅 仙林-现状道路与煤干石山、国有土地交汇处 满二 590 万 34911元/㎡
特价 尧化门 · 华润幸福里 · 2室 · 1厅 双重验真 官方发布 房天下房源字典核验 2室1厅 | 81.16㎡ | 低层 （共18层） | 南向 | 2017年建 | 孟全 华润幸福里 尧化-尧化街道前塘路9号(翠林北路与前塘路交汇处) 满五 距7号线仙新路站约636米 133 万 16387元/㎡ 低于市场价29万
燕子矶标杆小区 小高层 新空未住 空调地暖 诚售 3室1厅 | 87.41㎡ | 高层 （共19层） | 南向 | 2000年建 | 王彩丽 融创玉兰公馆 燕子矶-融创玉兰公馆 满五 距1号线笆斗山站约699米 256 万 29287元/㎡
特价 仙鹤门 · 保利紫晶山 · 4室 · 2厅 双重验真 官方发布 房天下房源字典核验 4室2厅 | 169.56㎡ | 低层 （共6层） | 南北向 | 2013年建 | 李雪 保利紫晶山 仙鹤门-栖霞区马群大庄6号 满五 优质教育 距2号线仙鹤门站约444米 548 万 32318元/㎡ 低于市场价45万
特价 品质好房 仙林大学城 亚东城西区 精装修三房两卫 随时看房 双重验真 官方发布 房天下房源字典核验 4室2厅 | 129.69㎡ | 顶层 （共19层） | 南向 | 2009年建 | 孟全 亚东城 仙鹤门-栖霞区仙隐北路18号 满五 距2号线仙鹤门站约770米 299 万 23054元/㎡ 低于市场价98万
万寿 地铁口 融创玉兰公馆二期3房精装修 回老家发展 诚心 3室2厅 | 89.13㎡ | 低层 （共25层） | 南北向 | 2016年建 | 钱俊马 融创玉兰公馆 燕子矶-融创玉兰公馆 距1号线笆斗山站约699米 238 万 26702元/㎡
万达茂双地铁 御湖仕家 140.78平4居 30万精装修 4室2厅 | 140.78㎡ | 中层 （共34层） | 南向 | 2018年建 | 邓婷婷 御湖仕家 仙林-仙林大道与守敬路交汇处向东100米 满二 优质教育 距4号线仙林湖站约713米 345 万 24506元/㎡
热搜 人气 马群 紫金观邸 目前在售性比较的一套 业主诚心出售 3室2厅 | 122.88㎡ | 中层 （共14层） | 南北向 | 2018年建 | 张磊 中垠紫金观邸 马群-马群环陵路99号(马群综合换乘中心) 满五 满五唯一 距2号线马群站约365米 283 万 23030元/㎡
万象商圈 地铁口 精装 全明通透 边户 降价急售 4室2厅 | 142.77㎡ | 低层 （共18层） | 南北向 | 2022年建 | 孔倩 万象天地·四季 迈皋桥-燕子矶新城栖霞大道与经五路交汇处 满二 距7号线万寿站约556米 445 万 31169元/㎡
特价 热搜 紫金山下 抢手三房 居家装修 品质小区 随时看房 双重验真 官方发布 房天下房源字典核验 3室2厅 | 87.57㎡ | 中层 （共6层） | 南北向 | 2016年建 | 李雪 世茂招商语山 仙鹤门-世茂招商语山 满五 距2号线金马路站约730米 259 万 29576元/㎡ 低于市场价32万
人气 学则路马群东 南京大学万达茂仙林湖 总价119万买精装3房 3室2厅 | 88.13㎡ | 低层 （共18层） | 南北向 | 2018年建 | 尹伟 华侨城翡翠天域 栖霞-工农路与疏港大道交汇处 满二 115 万 13048元/㎡
报价可谈!燕子矶华发四季雅筑,24年次新房,精装修 3室2厅 | 100.68㎡ | 低层 （共32层） | 南向 | 2018年建 | 姜成 四季雅筑 晓庄-栖霞区燕子矶街道壮举路与吉祥街交汇处 满二 距1号线八卦洲大桥南站约1064米 316 万 31386元/㎡
君颐东方次新小区 电梯洋房 银城物业 精装大四房 大院子 4室2厅 | 127.74㎡ | 底层 （共11层） | 南向 | 2018年建 | 易功瑞 银城君颐东方 马群-马群街169号(宁杭高速与规划道路交汇处) 满五 满五唯一 距2号线马群站约839米 500 万 39142元/㎡
热搜 人气 亚东城西区、好楼层满5总高11层 通透两室 精装修 有车位、 双重验真 官方发布 房天下房源字典核验 2室2厅 | 82.67㎡ | 中层 （共11层） | 南向 | 2009年建 | 孟全 亚东城 仙鹤门-栖霞区仙隐北路18号 满五 距2号线仙鹤门站约770米 288 万 34837元/㎡
紫金山环陵路 马群 复地御钟山 电梯洋房四室 阁楼全送 4室2厅 | 174.15㎡ | 顶层 （共7层） | 南向 | 2015年建 | 张磊 复地御钟山 马群-马群街道2号 满二 优质教育 距2号线马群站约479米 730 万 41917元/㎡
人气 仙林 · 高科荣域 · 3室 · 1厅 双重验真 官方发布 房天下房源字典核验 3室1厅 | 134.66㎡ | 高层 （共11层） | 南北向 | 2014年建 | 孟全 高科荣域 仙林-仙林大学城文澜路与仙境路交叉口向西100米 满五 460 万 34160元/㎡
特价 仙林 · 三味公寓 · 1室 · 1厅 双重验真 官方发布 房天下房源字典核验 1室1厅 | 43.07㎡ | 高层 （共6层） | 南向 | 2009年建 | 孟全 三味公寓 仙鹤门-仙隐北路2号 满五 88 万 20431元/㎡ 低于市场价16万
人气 改善两居,闹中取静,马群,花园城南。 3室1厅 | 74.33㎡ | 低层 （共8层） | 南北向 | 2018年建 | 张磊 复地御钟山 马群-马群街道2号 满二 优质教育 距2号线马群站约479米 228 万 30674元/㎡
精装 全明通透 高得房率 科技宅 恒温恒湿恒氧 急 3室2厅 | 134.96㎡ | 高层 （共33层） | 南北向 | 2020年建 | 孔倩 保利朗诗蔚蓝 迈皋桥-保利朗诗蔚蓝 满二 距1号线晓庄站约582米 369 万 27341元/㎡
新上 仙林万达茂御湖世家 书包 金中金小 精装修急售双地铁 4室1厅 | 106.06㎡ | 中层 （共32层） | 南向 | 2000年建 | 邓婷婷 御湖仕家 仙林-仙林大道与守敬路交汇处向东100米 满五 优质教育 距4号线仙林湖站约713米 250 万 23571元/㎡
特价 仙林 · 赛世香樟园 · 3室 · 2厅 双重验真 官方发布 房天下房源字典核验 3室2厅 | 132㎡ | 中层 （共11层） | 南北向 | 2008年建 | 张月红 香樟园 仙林-仙林街道杉湖路社区杉湖西路9号 满五 优质教育 距2号线学则路站约1050米 380 万 28787元/㎡ 低于市场价16万
当锦麟融誉府的出现是又一次完美而响亮的音符 3室2厅 | 101.69㎡ | 高层 （共23层） | 南向 | 2000年建 | 夏菊 锦麟融誉府 迈皋桥-北苑东路与熙湲路交汇处 满五 距1号线晓庄站约1109米 285 万 28026元/㎡
人气 紫金脚下 毛坯 采光 有电梯 马群 3室2厅 | 142.3㎡ | 低层 （共17层） | 南北向 | 2018年建 | 张磊 天泓山庄 马群-环陵路1号 满五 优质教育 距2号线马群站约886米 295 万 20730元/㎡
万象天地九悦 低密度洋房 地铁6 7号线 4室2厅 | 124.09㎡ | 中层 （共11层） | 南北向 | 2000年建 | 夏菊 万象天地·九悦 迈皋桥-燕子矶新城栖霞大道与经五路交汇处 满五 距7号线万寿站约557米 430 万 34652元/㎡
人气 仙林 精装修准现房 公办南外单价一万四 非顶底楼128万 3室1厅 | 89.2㎡ | 低层 （共26层） | 南北向 | 2019年建 | 许金虎 华侨城翡翠天域 栖霞-工农路与疏港大道交汇处 156 万 17488元/㎡
特价 仙林湖 · 融筑儒林花园 · 3室 · 2厅 双重验真 官方发布 房天下房源字典核验 3室2厅 | 99.59㎡ | 底层 （共18层） | 南北向 | 2020年建 | 张月红 融信世纪东方 仙林-经天路与广志路交汇处(南京大学仙林分校旁) 满二 距2号线经天路站约1057米 260 万 26107元/㎡ 低于市场价50万
特价 南师大茶苑 新出经济三房楼层好低总价 南师施教 双重验真 官方发布 房天下房源字典核验 3室2厅 | 81.96㎡ | 高层 （共5层） | 南北向 | 2005年建 | 孟全 仙林南师茶苑 仙林-仙林文苑路1号 满五 优质教育 160 万 19521元/㎡ 低于市场价49万
特价 人气 仙林湖·万达茂御湖仕家一期二期·3室·2厅 双重验真 官方发布 房天下房源字典核验 3室2厅 | 88.09㎡ | 高层 （共33层） | 南向 | 2015年建 | 余莉莉 万达茂 仙林-仙林大道与守敬路交汇处向东100米 满五 优质教育 距4号线仙林湖站约713米 202 万 22931元/㎡ 低于市场价16万
格局好 好楼层 采光通风佳,楼栋前后无遮挡,视野开阔 3室2厅 | 112.43㎡ | 低层 （共18层） | 南北向 | 2022年建 | 孔倩 金科博翠花园 燕子矶-燕春路26号 满二 316 万 28106元/㎡
热搜 人气 花园洋房 带大露台 高得房率 洋房品质 换房急售 急售 3室2厅 | 106.38㎡ | 中层 （共7层） | 南北向 | 2018年建 | 孔倩 金浦御龙湾 迈皋桥-金浦御龙湾 满五 距1号线晓庄站约644米 329 万 30926元/㎡
人气 燕核门户·国央联袂·双·上乘筑作 保利国贸璟上 边户 3室2厅 | 99㎡ | 顶层 （共33层） | 南北向 | 2024年建 | 陈群芳 保利国际社区 燕子矶-燕子矶街道太新路与燕园路交汇处 距1号线笆斗山站约506米 310 万 31313元/㎡
马群口 天悦花园 满五年中间楼层 光线不挡 栖霞建设商品房 2室1厅 | 63.6㎡ | 中层 （共6层） | 南北向 | 2018年建 | 张磊 天悦花园 马群-马群新街89-1号 满五 满五唯一 优质教育 距2号线马群站约504米 92 万 14465元/㎡
新特价清盘中低密度现房住宅 品质改善栖霞区百水桥口 3室1厅 | 104㎡ | 中层 （共18层） | 南北向 | 2022年建 | 张长伟 润栖府 马群-南京市栖霞区宁芝路与美芝嘉路交汇处 满二 距s6号线百水桥站约514米 255 万 24519元/㎡
特价 热搜 人气 仙林 · 亚东城东区 · 2室 · 2厅 双重验真 官方发布 房天下房源字典核验 2室2厅 | 76.8㎡ | 中层 （共19层） | 南北向 | 2008年建 | 孟全 亚东城 仙鹤门-栖霞区仙隐北路18号 满五 距2号线仙鹤门站约770米 220 万 28645元/㎡ 低于市场价7万
地铁口 燕子矶 精装 高得房率 拎包入住 换房急售 3室2厅 | 96㎡ | 高层 （共20层） | 南向 | 2021年建 | 孔倩 金科博翠花园 燕子矶-燕春路26号 满二 253 万 26354元/㎡
新房源,生活配套全,环境优美。 4室1厅 | 131.57㎡ | 低层 （共11层） | 南向 | 2000年建 | 凌晓伟 电建洺悦府 万寿-迈尧路611号(迈尧路与恒竞路交汇处) 满五 320 万 24321元/㎡
好房难得,房源真实,星级经纪人竭诚为您服务 4室2厅 | 138.29㎡ | 中层 （共11层） | 南向 | 2000年建 | 夏菊 金浦御龙湾 迈皋桥-金浦御龙湾 满五 距1号线晓庄站约644米 418 万 30226元/㎡
人气 天泓山庄 好楼层 边户山景 落地窗 豪装 房东诚心出售 3室2厅 | 150.77㎡ | 中层 （共9层） | 东南向 | 2018年建 | 易功瑞 天泓山庄 马群-环陵路1号 满五 满五唯一 优质教育 距2号线马群站约886米 400 万 26530元/㎡
天悦花园 诚心卖 看房随时 房型格局好 近站无噪音 7室3厅 | 175.6㎡ | 顶层 （共6层） | 南北向 | 2004年建 | 易功瑞 天悦花园 马群-马群新街89-1号 满五 满五唯一 优质教育 距2号线马群站约504米 220 万 12528元/㎡
燕子矶 总价低 地铁口 精装修 带会所 3室2厅 | 89㎡ | 低层 （共25层） | 南向 | 2019年建 | 李小朋 都会峯范府 万寿-都会峯范府 推荐新房 181 万 20337元/㎡
特价 紫金山下 新上四房 楼层位置好 视野开阔 有车位 看房方便 双重验真 官方发布 房天下房源字典核验 4室2厅 | 163.66㎡ | 顶层 （共6层） | 南北向 | 2011年建 | 李雪 朗诗钟山绿郡 仙鹤门-仙林大道与凯旋路交叉口 满五 优质教育 距2号线仙鹤门站约424米 678 万 41427元/㎡ 低于市场价100万
仙林 · 仙林新村南区 · 3室 · 1厅 双重验真 官方发布 房天下房源字典核验 3室1厅 | 83.41㎡ | 顶层 （共6层） | 南向 | 1998年建 | 孟全 仙林新村 仙林-栖霞区文枢东路和学衡路交叉口向南100米 满五 优质教育 距2号线学则路站约833米 170 万 20381元/㎡
热搜 人气 马群 紫金观邸 经典三房 急卖 随时看房 3室2厅 | 89.73㎡ | 底层 （共14层） | 南向 | 2018年建 | 张磊 中垠紫金观邸 马群-马群环陵路99号(马群综合换乘中心) 满二 距2号线马群站约365米 195 万 21731元/㎡
大发燕澜湾 带大露台 房主诚心出售 3室2厅 | 108.8㎡ | 低层 （共11层） | 南北向 | 2013年建 | 凌晓伟 大发燕澜湾 燕子矶-和燕路498号(苏果超市和燕路店东南侧) 满五 优质教育 距1号线燕子矶站约373米 290 万 26654元/㎡
迈皋桥 电建洺悦府 精装自住三房 位置好 价格看中好商量 3室1厅 | 78.56㎡ | 高层 （共11层） | 南北向 | 2018年建 | 钱俊马 电建洺悦府 万寿-迈尧路611号(迈尧路与恒竞路交汇处) 165 万 21003元/㎡
特价 仙林大学城 仙龙湾山庄 电梯洋房 价格好谈 含有车位 双重验真 官方发布 房天下房源字典核验 4室2厅 | 142.62㎡ | 顶层 （共6层） | 南北向 | 2010年建 | 张月红 仙龙湾 仙鹤门-仙隐南路2号 满五 距2号线仙鹤门站约825米 399 万 27976元/㎡ 低于市场价113万
特价 人气 仙林湖 · 金地湖城艺境 · 3室 · 2厅 双重验真 官方发布 房天下房源字典核验 3室2厅 | 97.35㎡ | 低层 （共27层） | 南北向 | 2015年建 | 孟全 金地艺境 仙林-栖霞守敬路与纬地路交汇口 满五 优质教育 215 万 22085元/㎡ 低于市场价26万
特价 经典 尽享欢乐生活,您还在等什么呢 4室2厅 | 129.48㎡ | 高层 （共26层） | 南北向 | 2000年建 | 夏菊 锦麟融誉府 迈皋桥-北苑东路与熙湲路交汇处 满五 距1号线晓庄站约1109米 388 万 29966元/㎡ 低于市场价77万
特价 仙林大学城 玄武大道学则路仙鹤 双重验真 官方发布 房天下房源字典核验 3室2厅 | 99.07㎡ | 低层 （共6层） | 南北向 | 2002年建 | 孟全 仙鹤山庄 仙鹤门-仙隐北路4号 满五 优质教育 195 万 19683元/㎡ 低于市场价29万
好房难得,房源真实,星级经纪人竭诚为您服务 4室2厅 | 138.29㎡ | 中层 （共11层） | 南向 | 2000年建 | 凌晓伟 金浦御龙湾 迈皋桥-金浦御龙湾 满五 距1号线晓庄站约644米 418 万 30226元/㎡
翠谷银杏街区 北入户南花园诚心出 价格可谈 联排 | 卧室：4个 | 花园：120平米 | 249㎡ | 北向 | 袁洁 新湖仙林翠谷别墅 龙潭-栖霞区句容宝华镇 满二 440 万 17670元/㎡
人气 燕子矶保利国际社区一期 90.67平3居 南向毛坯 着急出售 3室2厅 | 90.67㎡ | 中层 （共33层） | 南向 | 钱俊马 保利国际社区 燕子矶-燕子矶街道太新路与燕园路交汇处 满二 距1号线笆斗山站约506米 199 万 21947元/㎡
恒大云玺华庭 130平精装修210万 地铁500米 全新未住 3室2厅 | 129.53㎡ | 顶层 （共20层） | 南向 | 2022年建 | 吴彩娣 恒大云玺华庭 尧化-太龙路与邻安路交会处西侧200米 距7号线尧化新村站约532米 227 万 17524元/㎡
人气 栖霞尧化门 仙林万科华侨城89平118万 学.区 地铁 医院 3室2厅 | 89㎡ | 低层 （共25层） | 南向 | 2023年建 | 吴苑 华侨城翡翠天域 栖霞-工农路与疏港大道交汇处 推荐新房 127 万 14269元/㎡
特价 仙林湖 · 万达茂御湖仕家一期二期 · 2室 · 2厅 双重验真 官方发布 房天下房源字典核验 2室2厅 | 79.64㎡ | 低层 （共33层） | 南向 | 2013年建 | 张月红 万达茂 仙林-仙林大道与守敬路交汇处向东100米 满二 优质教育 距4号线仙林湖站约713米 170 万 21346元/㎡ 低于市场价27万
非常正气,楼层好、采光佳,让您居住非常舒适! 3室2厅 | 78.55㎡ | 低层 （共34层） | 南北向 | 2000年建 | 黄朋飞 金浦紫御东方 晓庄-经五路与太新路交汇处 满五 距1号线笆斗山站约811米 175 万 22278元/㎡
来电咨询折扣!燕子矶一号线晓庄地铁口精装三房 保利国贸璟上 3室2厅 | 89㎡ | 中层 （共23层） | 南向 | 2023年建 | 段海伦 保利·国贸璟上 迈皋桥-南京市栖霞区和燕路与宜春街交汇处 推荐新房 距1号线晓庄站约769米 260 万 29213元/㎡
来电详谈折扣!栖霞燕子矶 都会峯范 6号线地铁口精装三房 3室2厅 | 89.21㎡ | 中层 （共25层） | 南北向 | 2023年建 | 段海伦 金地都会峯范 万寿-金地都会峯范 188 万 21073元/㎡
特价 人气 万科燕语光年 万科物业 楼层好 全新未住 双地铁口 3室2厅 | 109.45㎡ | 顶层 （共29层） | 南北向 | 2000年建 | 戚亮辉 万科·燕语光年 迈皋桥-栖霞大道与燕园路交汇处 满五 349 万 31886元/㎡ 低于市场价33万
特价 仙林 · 咏梅山庄 · 2室 · 2厅 双重验真 官方发布 房天下房源字典核验 2室2厅 | 91.73㎡ | 低层 （共6层） | 南北向 | 2002年建 | 孟全 咏梅山庄 仙林-仙隐北路文苑路2号 满二 优质教育 233 万 25400元/㎡ 低于市场价7万
新上房源!重点推荐高科荣境1期 房主急售 4室2厅 | 176.81㎡ | 低层 （共11层） | 南北向 | 2000年建 | 邓婷婷 高科荣境 仙林-守敬路313号(仙林大道与经天路交汇处) 满五 优质教育 距2号线经天路站约819米 580 万 32803元/㎡
地铁口 精装 全明通透 高得房率 拎包入职 换房急 3室2厅 | 129.5㎡ | 低层 （共11层） | 南北向 | 2009年建 | 孔倩 大地伊丽雅特湾 迈皋桥-和燕路329号 满五 优质教育 距1号线晓庄站约933米 256 万 19768元/㎡
地铁口 新空毛坯 边户 全明通透 高得房率 换房急 3室2厅 | 137.35㎡ | 中层 （共29层） | 南北向 | 2022年建 | 孔倩 东方兰园 迈皋桥-经五路6号(经五路与迈化路交汇处) 满二 距7号线万寿站约464米 289 万 21041元/㎡
特价 人气 仙林湖 · 新城香悦澜山 · 3室 · 2厅 双重验真 官方发布 房天下房源字典核验 3室2厅 | 83.51㎡ | 高层 （共27层） | 南向 | 2016年建 | 孟全 新城香悦澜山 仙林-仙林经天路与纬地路交汇处 满五 优质教育 距2号线经天路站约1158米 188 万 22512元/㎡ 低于市场价28万
装修保养好,双卧朝南北,客厅落地窗,采光好,诚意售 3室2厅 | 98.7㎡ | 低层 （共8层） | 南北向 | 2000年建 | 孔倩 万象天地·九悦 迈皋桥-燕子矶新城栖霞大道与经五路交汇处 满五 距7号线万寿站约557米 319 万 32320元/㎡
复式 160平电梯双卫 有钥匙精装 城市绿洲花园 4室1厅 | 80.48㎡ | 中层 （共7层） | 南北向 | 2000年建 | 夏菊 城市绿洲花园 和燕路-栖霞区和燕路440号 满五 优质教育 距1号线吉祥庵站约392米 255 万 31684元/㎡
哇塞,这么好的房子,雍锦逸境府打着灯笼都找不到的 3室2厅 | 84㎡ | 中层 （共11层） | 南北向 | 2022年建 | 廖斯敏 蓝光雍锦逸境府 栖霞-南京市栖霞区工农路158号 129 万 15357元/㎡
仙林高科紫星堂国际一线平台家电豪华大平层 4室2厅 | 217㎡ | 中层 （共5层） | 南向 | 2021年建 | 袁洁 高科荣境 仙林-守敬路313号(仙林大道与经天路交汇处) 满二 优质教育 距2号线经天路站约819米 1080 万 49769元/㎡
高科荣境 177.21平4居 南向精装修 视野无遮挡 4室2厅 | 177.21㎡ | 底层 （共11层） | 南向 | 2000年建 | 邓婷婷 高科荣境 仙林-守敬路313号(仙林大道与经天路交汇处) 满五 优质教育 距2号线经天路站约819米 700 万 39501元/㎡
特价 仙鹤门 · 雁鸣山庄 · 2室 · 1厅 双重验真 官方发布 房天下房源字典核验 2室1厅 | 53.91㎡ | 顶层 （共5层） | 南北向 | 2002年建 | 孟全 雁鸣山庄 仙鹤门-仙隐北路8号 满五 优质教育 130 万 24114元/㎡ 低于市场价13万
特价 燕子矶 地铁1号线 南师附中附小 精装交付 融创玉兰公馆 3室1厅 | 101.48㎡ | 低层 （共27层） | 南向 | 2000年建 | 夏菊 融创玉兰公馆 燕子矶-融创玉兰公馆 满五 距1号线笆斗山站约699米 315 万 31040元/㎡ 低于市场价31万
新一口价仙林湖 万达茂旁 电建建发兰亭和颂 金小 金中 3室2厅 | 99㎡ | 低层 （共26层） | 南向 | 2023年建 | 毛国忠 兰亭和颂 迈皋桥-兰亭和颂 距4号线仙林湖站约423米 278.5 万 28131元/㎡
特价 热搜 人气 两房边户、精装好房小区中心位置、中间楼层采光好 双重验真 官方发布 房天下房源字典核验 2室1厅 | 77.33㎡ | 中层 （共11层） | 南向 | 2009年建 | 孟全 亚东城 仙鹤门-栖霞区仙隐北路18号 满五 距2号线仙鹤门站约770米 185 万 23923元/㎡ 低于市场价41万
人气 温馨的港湾 新城香悦澜山 金中金小 新上必看好房 急售 3室2厅 | 89.67㎡ | 低层 （共27层） | 南北向 | 2000年建 | 邓婷婷 新城香悦澜山 仙林-仙林经天路与纬地路交汇处 满五 优质教育 距2号线经天路站约1158米 199 万 22192元/㎡
人气 学则路马群东 南京大学万达茂仙林湖 总价129万买精装3房 3室2厅 | 88.13㎡ | 低层 （共18层） | 南北向 | 2018年建 | 廖斯敏 华侨城翡翠天域 栖霞-工农路与疏港大道交汇处 满二 133.5 万 15148元/㎡
特价 仙林 · 尚东花园 · 3室 · 2厅 双重验真 官方发布 房天下房源字典核验 3室2厅 | 92.34㎡ | 高层 （共5层） | 南向 | 2007年建 | 张月红 尚东花园 仙林-仙林大道118号 满五 距2号线仙林中心站约824米 260 万 28156元/㎡ 低于市场价36万
迈皋桥 锦麟融誉府 地铁口 精装 全明 拎包入住 环优交便 3室2厅 | 95.42㎡ | 中层 （共26层） | 南北向 | 2022年建 | 钱俊马 锦麟融誉府 迈皋桥-北苑东路与熙湲路交汇处 距1号线晓庄站约1109米 268 万 28086元/㎡
人气 保利国际社区 近地铁一号线 采光通风良好 3室2厅 | 115㎡ | 低层 （共32层） | 南北向 | 2020年建 | 彭林林 保利国际社区 燕子矶-燕子矶街道太新路与燕园路交汇处 距1号线笆斗山站约506米 270 万 23478元/㎡
金尧华府 65平110万 好楼层 精装修拎包住 低总价地铁口 1室1厅 | 65.97㎡ | 高层 （共18层） | 南向 | 吴彩娣 金尧华府 尧化-栖霞尧化街道尧辰社区尧佳路28-18号 满五 距7号线尧化门站约352米 110 万 16674元/㎡
人气 马群 天悦花园 楼层 价 好 新上 3室2厅 | 129.64㎡ | 中层 （共6层） | 南北向 | 2018年建 | 张磊 天悦花园 马群-马群新街89-1号 满五 优质教育 距2号线马群站约504米 238 万 18358元/㎡
精装4房、配套齐全、交通方便、诚心出售 4室2厅 | 141.88㎡ | 高层 （共17层） | 南北向 | 2022年建 | 孔倩 佳兆业燕然居 燕子矶-栖霞区观音门路2号 满二 415 万 29250元/㎡
地铁口 燕子矶风光带 精装 大四房 环优交便 配套齐全 4室2厅 | 152.23㎡ | 低层 （共11层） | 南北向 | 2022年建 | 孔倩 仁恒公园世纪 燕子矶-燕园路37号 满二 距1号线笆斗山站约634米 542 万 35604元/㎡
热搜 小三居 精装修 电梯房 正规商品房 双卫 南北通透 3室2厅 | 105.38㎡ | 低层 （共28层） | 南北向 | 2000年建 | 彭林林 燕熙台 晓庄-燕子矶街道太新路与经五路交汇处 距1号线笆斗山站约754米 280 万 26570元/㎡
高科紫尧星院尧化门中心位置地铁7号线交通便利生活配套齐全 3室2厅 | 98㎡ | 中层 （共26层） | 南向 | 陈小丽 高科·紫尧星院 尧化-高科·紫尧星院 推荐新房 满二 距7号线尧化新村站约514米 180 万 18367元/㎡
燕子矶 仁恒低密 大平层 高得房率 南北通透 换房急 4室2厅 | 153.3㎡ | 高层 （共11层） | 南北向 | 2022年建 | 孔倩 仁恒公园世纪 燕子矶-燕园路37号 满二 距1号线笆斗山站约634米 546 万 35616元/㎡
特价 仙林 · 鸿运嘉园 · 3室 · 2厅 双重验真 官方发布 房天下房源字典核验 3室2厅 | 95.7㎡ | 中层 （共5层） | 南北向 | 2011年建 | 孟全 鸿雁名居 仙林-学海路28号 满五 228 万 23824元/㎡ 低于市场价20万
地铁口 带超大院子 豪装80万 复式底跃 换房急售急 5室2厅 | 234.19㎡ | 底层 （共7层） | 南北向 | 2014年建 | 孔倩 大地伊丽雅特湾 迈皋桥-和燕路329号 满五 优质教育 距1号线晓庄站约933米 432 万 18446元/㎡
